index,genome,identifier,file,clip,scale,sum_stat,description,Tissue,Cancer
4955,0,CNhs11766,/home/drk/tillage/datasets/human/cage/fantom/CNhs11766/summary/coverage.w5,384,1,sum,"trachea, fetal,",lung,No
4956,0,CNhs11768,/home/drk/tillage/datasets/human/cage/fantom/CNhs11768/summary/coverage.w5,384,1,sum,"tongue, fetal,",tongue,No
4957,0,CNhs11769,/home/drk/tillage/datasets/human/cage/fantom/CNhs11769/summary/coverage.w5,384,1,sum,"thyroid, fetal,",thyroid,No
4958,0,CNhs11770,/home/drk/tillage/datasets/human/cage/fantom/CNhs11770/summary/coverage.w5,384,1,sum,"throat, fetal,",pharynx,No
4959,0,CNhs11771,/home/drk/tillage/datasets/human/cage/fantom/CNhs11771/summary/coverage.w5,384,1,sum,"stomach, fetal,",stomach,No
4960,0,CNhs11772,/home/drk/tillage/datasets/human/cage/fantom/CNhs11772/summary/coverage.w5,384,1,sum,"temporal lobe, fetal, , tech_",brain,No
4961,0,CNhs11773,/home/drk/tillage/datasets/human/cage/fantom/CNhs11773/summary/coverage.w5,384,1,sum,"small intestine, fetal,",intestine,No
4962,0,CNhs11774,/home/drk/tillage/datasets/human/cage/fantom/CNhs11774/summary/coverage.w5,384,1,sum,"skin, fetal,",skin,No
4963,0,CNhs11776,/home/drk/tillage/datasets/human/cage/fantom/CNhs11776/summary/coverage.w5,384,1,sum,"skeletal muscle, fetal,",muscle,No
4964,0,CNhs11777,/home/drk/tillage/datasets/human/cage/fantom/CNhs11777/summary/coverage.w5,384,1,sum,"rectum, fetal,",intestine,No
4965,0,CNhs11779,/home/drk/tillage/datasets/human/cage/fantom/CNhs11779/summary/coverage.w5,384,1,sum,"diaphragm, fetal,",muscle,No
4966,0,CNhs11780,/home/drk/tillage/datasets/human/cage/fantom/CNhs11780/summary/coverage.w5,384,1,sum,"colon, fetal,",intestine,No
4967,0,CNhs12997,/home/drk/tillage/datasets/human/cage/fantom/CNhs11781/summary/coverage.w5,384,1,sum,"duodenum, fetal, , tech_",intestine,No
4968,0,CNhs11782,/home/drk/tillage/datasets/human/cage/fantom/CNhs11782/summary/coverage.w5,384,1,sum,"parietal lobe, fetal,",brain,No
4969,0,CNhs11784,/home/drk/tillage/datasets/human/cage/fantom/CNhs11784/summary/coverage.w5,384,1,sum,"occipital lobe, fetal,",brain,No
4970,0,CNhs11785,/home/drk/tillage/datasets/human/cage/fantom/CNhs11785/summary/coverage.w5,384,1,sum,"skin, adult,",skin,No
4971,0,CNhs11786,/home/drk/tillage/datasets/human/cage/fantom/CNhs11786/summary/coverage.w5,384,1,sum,"lung, right lower lobe, adult,",lung,No
4972,0,CNhs11787,/home/drk/tillage/datasets/human/cage/fantom/CNhs11787/summary/coverage.w5,384,1,sum,"occipital lobe, adult,",brain,No
4973,0,CNhs11788,/home/drk/tillage/datasets/human/cage/fantom/CNhs11788/summary/coverage.w5,384,1,sum,"lymph node, adult,",lymph,No
4974,0,CNhs11789,/home/drk/tillage/datasets/human/cage/fantom/CNhs11789/summary/coverage.w5,384,1,sum,"left ventricle, adult,",heart,No
4975,0,CNhs11790,/home/drk/tillage/datasets/human/cage/fantom/CNhs11790/summary/coverage.w5,384,1,sum,"left atrium, adult,",heart,No
4976,0,CNhs11792,/home/drk/tillage/datasets/human/cage/fantom/CNhs11792/summary/coverage.w5,384,1,sum,"breast, adult,",breast,No
4977,0,CNhs11793,/home/drk/tillage/datasets/human/cage/fantom/CNhs11793/summary/coverage.w5,384,1,sum,"adrenal gland, adult, pool1",endocrine,No
4978,0,CNhs11794,/home/drk/tillage/datasets/human/cage/fantom/CNhs11794/summary/coverage.w5,384,1,sum,"colon, adult,",intestine,No
4979,0,CNhs11795,/home/drk/tillage/datasets/human/cage/fantom/CNhs11795/summary/coverage.w5,384,1,sum,"cerebellum, adult, pool1",brain,No
4980,0,CNhs11796,/home/drk/tillage/datasets/human/cage/fantom/CNhs11796/summary/coverage.w5,384,1,sum,"brain, adult,",brain,No
4981,0,CNhs11797,/home/drk/tillage/datasets/human/cage/fantom/CNhs11797/summary/coverage.w5,384,1,sum,"brain, fetal, pool1",brain,No
4982,0,CNhs11798,/home/drk/tillage/datasets/human/cage/fantom/CNhs11798/summary/coverage.w5,384,1,sum,"liver, fetal, pool1",liver,No
4983,0,CNhs11810,/home/drk/tillage/datasets/human/cage/fantom/CNhs11810/summary/coverage.w5,384,1,sum,oral squamous cell carcinoma cell line:SAS,NA,Yes
