pathway,pval,padj,log2err,ES,NES,size
GOBP_NEGATIVE_REGULATION_OF_RNA_CATABOLIC_PROCESS,0.85431654676259,0.945798968140432,0.0480220415968251,0.325967530838748,0.690641502132457,8
GOBP_POSITIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION,0.85431654676259,0.945798968140432,0.0480220415968251,0.329639924831294,0.698422362075494,8
GOBP_REGULATION_OF_CILIUM_ASSEMBLY,0.85431654676259,0.945798968140432,0.0480220415968251,0.329608153092135,0.698355045917957,8
GOBP_NEGATIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE,0.854347826086957,0.945798968140432,0.0567672387487446,-0.305444275904668,-0.647804664007947,7
GOCC_PLASMA_MEMBRANE_SIGNALING_RECEPTOR_COMPLEX,0.854415274463007,0.945798968140432,0.0611692626746689,-0.250438656120098,-0.700752977452941,21
GOBP_FIBROBLAST_APOPTOTIC_PROCESS,0.854625550660793,0.945798968140432,0.0573667426768556,-0.348311510765452,-0.661152693810121,5
GOBP_REGULATION_OF_FIBROBLAST_APOPTOTIC_PROCESS,0.854625550660793,0.945798968140432,0.0573667426768556,-0.348311510765452,-0.661152693810121,5
GOBP_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION,0.855791962174941,0.94593853049191,0.060640400949416,-0.262185504272177,-0.657902584644138,14
GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX,0.856459330143541,0.94593853049191,0.0611692626746689,-0.236163670005218,-0.742737178602303,35
GOBP_REGULATION_OF_RESTING_MEMBRANE_POTENTIAL,0.856828193832599,0.94593853049191,0.0572461135202885,-0.347925406790839,-0.660419804786887,5
GOBP_EYE_MORPHOGENESIS,0.857894736842105,0.94593853049191,0.0466948041282054,0.291926800079548,0.702628505334883,13
GOCC_NEUROMUSCULAR_JUNCTION,0.857913669064748,0.94593853049191,0.0478299633114229,0.32477262864319,0.688109811184226,8
GOMF_GLUTAMATE_RECEPTOR_BINDING,0.858695652173913,0.94593853049191,0.0565299525056311,-0.303023815857483,-0.642671206185019,7
GOBP_CARBOHYDRATE_BIOSYNTHETIC_PROCESS,0.859484777517564,0.94593853049191,0.059989249649033,-0.249067796106316,-0.667185109408461,17
GOBP_REGULATION_OF_MEMBRANE_PERMEABILITY,0.85948905109489,0.94593853049191,0.0484087618816951,0.352953394157426,0.662426385866761,5
GOBP_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_PERMEABILITY,0.85948905109489,0.94593853049191,0.0484087618816951,0.352953394157426,0.662426385866761,5
GOBP_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_PERMEABILITY_INVOLVED_IN_APOPTOTIC_PROCESS,0.85948905109489,0.94593853049191,0.0484087618816951,0.352953394157426,0.662426385866761,5
